Status usu?o;Data-base in?;Ordem;Nota;Tipo de ordem;Status sistema;Loc.instala?;TEXTO;Denomina?;Tipo ativid.PM;
MAOB;07/07/2020;22645846;12340428;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-03-01;TRAVAMENTO DE GARRAFAS;LAVADORA DE GARRAFAS - K682379;115;LINHA 02 - VIDRO
MAOB;07/07/2020;22645847;12340429;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-28-01;esteira patinando;TRANSPORTE EPC II-ROBOBOX II;115;LINHA 01 - LATA
MAOB;07/07/2020;22645849;12340481;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-03;QUEDA DE SELO;TAXOMATIC III - K084162;115;LINHA 03 - LATA
MAOB;06/07/2020;22645850;12340482;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-09-01;AJUSTE NO GUIA DE TRANSFERENCIA NA CALHA;ENCHEDORA DE GARRAFAS - K136-767;115;LINHA 04 - VIDRO
MAOB;07/07/2020;22646750;12340512;ZM01;ENTE CNPA CAPC MATF MOME NOLQ;2015-20-21-01-28-01;SUBSTITUIR ENGRENAGEM> AO CHEGAR NA MAQU;TRANSPORTE EPC II-ROBOBOX II;120;LINHA 01 - LATA
MAOB;07/07/2020;22647404;12342508;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-23-01-09;Revis?de v?ula KHS (pe? danificada;ENCHIMENTO;110;OUTROS
MAOB;08/07/2020;22647899;12342567;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-09-01;M?ina apresentando difer?a na altura;ENCHEDORA DE LATAS - K232-139;115;LINHA 03 - LATA
MAOB;07/07/2020;22647978;12342683;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-00-02-01-03-03-01;VAZAMENTO DE BAGA? NA TUBULA?O AEREA;SILO DE BAGA? 01;120;PROCESSO
MAOB;07/07/2020;22648004;12342626;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-29-03;esteira com desgaste;TRANSPORTE ECH-PZ;110;LINHA 03 - LATA
MAOB;06/07/2020;22648005;12342629;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-11-01;FALHA PERTUBA?O PRESÏ TANQUE 03;PASTEURIZADOR - K578-291;115;LINHA 03 - LATA
MAOB;06/07/2020;22648006;12342640;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-02;CHECKMAT EXPULSANDO LATAS COM SELO.;TAXOMATIC II - K084161;120;LINHA 03 - LATA
MAOB;08/07/2020;22648014;12342771;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-02;MAGAZINE DE SELO 02 DANIFICADO;TAXOMATIC II - K084161;120;LINHA 03 - LATA
MAOB;08/07/2020;22648020;12342568;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-28-01;Desarme do motor 3121-M101;TRANSPORTE EPC II-ROBOBOX II;115;LINHA 01 - LATA
MAOB;08/07/2020;22648022;12342600;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-09-01;Sensor de acmulo parando a m?ina (aco;ENCHEDORA DE LATAS - K232-139;120;LINHA 03 - LATA
MAOB;07/07/2020;22648058;12342615;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-27-01;BLOQUEADOR COM PROBLEMA NO ACIONAMENTO.;TRANSPORTE DE PALETES - TBP21 KR57E83;115;LINHA 02 - VIDRO
MAOB;07/07/2020;22648069;12342723;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-36-08;FALHA NA IMPRESSÏ DA ETIQUETADORA;ETIQUETADORA ENVOLVEDORA I  - FR18270501;120;LINHA 03 - LATA
MAOB;07/07/2020;22648120;12342676;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-28-02;travamento da esteira Z;TRANSPORTE EPC II-ROBOBOX II;115;LINHA 03 - LATA
MAOB;07/07/2020;22648121;12342677;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-18-02;travamento da esteira regina;EMPACOTADORA II - KR96 - I92;115;LINHA 03 - LATA
MAOB;07/07/2020;22648145;12342724;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-29-07;TOMBAMENTO DE LATAS NO TRECHO 3431;TRANSPORTE MESA DE ACUMULO II SUP;120;LINHA 03 - LATA
MAOB;08/07/2020;22648147;12342726;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-01;BARRA DE CENTRAGEM DO CABE?TE QUEBROU;PALETIZADOR I;115;LINHA 01 - LATA
MAOB;08/07/2020;22648182;12342755;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-05-01;COLISÏ DESACOPLOU SEM FIM;INSPETOR TOPTRONIC - K719610;115;LINHA 02 - VIDRO
MAOB;08/07/2020;22648183;12342756;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-05-01;QUEBRA DO DISPARADOR;INSPETOR TOPTRONIC - K719610;120;LINHA 02 - VIDRO
MAOB;08/07/2020;22648326;12342787;ZM01;ENCE CONF CAPC NOLQ;2015-20-20-01-30-01;dar baixa Esteira Lonada danificada;TRANSPORTADOR DE TAMPAS;120;LINHA 02 - VIDRO
MAOB;08/07/2020;22648333;12342874;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-06-02;Expuls?por identidade;CHECKMAT TAXOMATIC I - K731CH6;120;LINHA 03 - LATA
MAOB;08/07/2020;22648334;12342877;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-36-01;Data com os numeros pequenos;DATADOR - TAXOMATIC 01;120;LINHA 03 - LATA
MAOB;08/07/2020;22648335;12342932;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-36-08;Etiquetas saindo apagadas;ETIQUETADORA ENVOLVEDORA I  - FR18270501;120;LINHA 03 - LATA
MAOB;08/07/2020;22648338;12342935;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-29-22;DESCARRILHAMENTO DE ESTEIRA B46 -05.;TRANSPORTE PZ-RT II;120;LINHA 02 - VIDRO
MAOB;08/07/2020;22648383;12342839;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-40-41-01-05-03;PLUG COM DESGASTE;CONDENSACAO GERACAO DE FRIO 3;110;UTILIDADES
MAOB;08/07/2020;22648396;12342901;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-28-02;TRAVAMENTO NO TRECHO G23-26.;TRANSPORTE DCX-LCX;115;LINHA 04 - VIDRO
MAOB;07/07/2020;22648408;12342794;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-28-01;TRAVAMENTO DA ESTEIRA DE ENTRADA A DCX;TRANSPORTE DPL-DCX;115;LINHA 04 - VIDRO
MAOB;08/07/2020;22648411;12342941;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-02;Conex?pneumatica danificada;PALETIZADOR II;115;LINHA 01 - LATA
MAOB;08/07/2020;22648416;12342945;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-23-01;BACKUP DE CF DAS IHM's;ENVASAMENTO DE PET LINHA 01;110;OUTROS
MAOB;08/07/2020;22648450;12342924;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-02-01-03-03-01;VLVULA MOTORIZADA NÏ FUNCIONA.;SILO DE BAGA? 01;120;PROCESSO
MAOB;08/07/2020;22648500;12342906;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-00-01-01-01;EQUIPAMENTO DE LAVA  JATO NÏ LIGA.;TOMBAMENTO;120;PROCESSO
MAOB;08/07/2020;22648512;12343094;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-10-01;queda de selo;SECADORA I - K890-S53;115;LINHA 03 - LATA
MAOB;08/07/2020;22648517;12343099;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-09-01;FALHA DE REDE ASI MASTER 3;ENCHEDORA - K136690;115;LINHA 02 - VIDRO
MAOB;06/07/2020;22648526;12342974;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-12-01;FALHA NA TROCA DE CALHA AGRAGDO 1;ROTULADORA I - K406194;115;LINHA 02 - VIDRO
MAOB;06/07/2020;22648528;12342977;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-11-01;DESARME DO PISO INFERIOR SOBRECARGA;PASTEURIZADOR - K574430;115;LINHA 02 - VIDRO
MAOB;06/07/2020;22648530;12342979;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-09-01;FALHA DE REDE ASI MASTER 3 E 4;ENCHEDORA - K136690;120;LINHA 02 - VIDRO
MAOB;06/07/2020;22648532;12342981;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-01-01;ATUADOR DO SENSOR DE COLISÏ EMPENADO;DESPALETIZADORA - KR63755;110;LINHA 02 - VIDRO
MAOB;06/07/2020;22648537;12342985;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-19-01;AJUSTE NOS SENSORES DE COLISÏ DO CABE?;ENCAIXOTADORA - KR66254;115;LINHA 02 - VIDRO
MAOB;09/07/2020;22648544;12342986;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-01-12-02;QUEDA DE ROTULO DE GARGALHO NA ROTULADOR;ROTULADORA II - K406195;110;LINHA 02 - VIDRO
MAOB;09/07/2020;22648580;12342994;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-01-09-01;Falha de bateria do PLC;ENCHEDORA - K136690;110;LINHA 02 - VIDRO
MAOB;08/07/2020;22648588;12343047;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-29-22;Descarrilhamento da esteira B46-05;TRANSPORTE PZ-RT II;115;LINHA 02 - VIDRO
MAOB;08/07/2020;22648590;12343049;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-04-01-03-01;VAZAMENTO PELO SENSOR DE NIVEL;TANCAGEM MATURA?O 01;120;PROCESSO
MAOB;07/07/2020;22648593;12343115;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-27-01;FALHA NO BLOQUEADOR DE PALETE;TRANSPORTE DE PALETES - TBP21 KR57E83;115;LINHA 02 - VIDRO
MAOB;09/07/2020;22648596;12343237;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-09-01;CONFECCIONAR CALHA PROVISORIA DE ALIMENT;ENCHEDORA - K136690;110;LINHA 02 - VIDRO
MAOB;08/07/2020;22648660;12343082;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-23-01;Guias desajustados (Setup);RECRAVADORA DE LATAS;120;LINHA 01 - LATA
MAOB;08/07/2020;22648661;12343084;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-40-43-01-09-03;VALVULA DE ALIVIO DANDO PASSAGEM;COMPRESSOR DE CO2 03;120;UTILIDADES
MAOB;08/07/2020;22648700;12343038;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-09-01;FALHA NO MASTER 9, 10/ ILHA DE VALVULAS.;ENCHEDORA LATAS;115;LINHA 01 - LATA
MAOB;08/07/2020;22648702;12343100;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-09-01;TRAVAMENTO NO CARROSSEL.;ENCHEDORA LATAS;115;LINHA 01 - LATA
MAOB;09/07/2020;22648708;12343107;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-17-02;FALHA BARREIRA DE LUZ SA?A ENVOLVEDORA.;ENVOLVEDORA II - K824-2PK;120;LINHA 03 - LATA
MAOB;08/07/2020;22648709;12343108;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-40-43-01;MEXEDOR DO TQ,PERMAGANATO USINA CO2;USINA BENEFICIAMENTO DE CO2 - 01;120;UTILIDADES
MAOB;09/07/2020;22648719;12343163;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-02-17-01;LIGA?O DO SISTEMA DE ALIMENTA?O DE AR;ENVOLVEDORA;110;LINHA 04 - VIDRO
MAOB;10/07/2020;22648747;12343132;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-01;PACOTES VIRANDO NO PR?AGRUPAMENTO;PALETIZADOR I;120;LINHA 01 - LATA
MAOB;09/07/2020;22648753;12343170;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-01;FALHA NA LIBERA?O DE LATAS NA ENTRADA.;SELADORA I;120;LINHA 01 - LATA
MAOB;09/07/2020;22648769;12343127;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-08;CABO DO MOTOR 2904-414 EM CURTO;TRANSPORTE PZ-TAXOMATIC II;115;LINHA 01 - LATA
MAOB;09/07/2020;22648770;12343128;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-01-01;PIN? AMASSANDO LATAS DESPAL L1;DESPALETIZADORA LATAS;120;LINHA 01 - LATA
MAOB;09/07/2020;22648771;12343150;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-02;FALHA DE OVERCURRENT EIXO Y MOD I ROB II;PALETIZADOR II;120;LINHA 01 - LATA
MAOB;09/07/2020;22648862;12343140;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-20-01;BLOQUEADOR DE PALETE 300;PALETIZADORA - KR63754;120;LINHA 02 - VIDRO
MAOB;09/07/2020;22648863;12343141;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-20-01;CABE?TE DE 300 DESAJUSTADO;PALETIZADORA - KR63754;110;LINHA 02 - VIDRO
MAOB;09/07/2020;22648864;12343142;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-05-01;CARDAN TRAVADO NO GUIA;INSPETOR TOPTRONIC - K719610;110;LINHA 02 - VIDRO
MAOB;09/07/2020;22648865;12343143;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-02-01;FALHA NO BLOCO DE AR DAS TULIPAS;DESENCAIXOTADORA - KR66253;110;LINHA 02 - VIDRO
MAOB;09/07/2020;22648866;12343144;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-29-08;TOMBAMENTO DE GARRAFAS NA SAIDA;TRANSPORTE SEKAMAT II-LAVADORA GARRAFAS;110;LINHA 02 - VIDRO
MAOB;09/07/2020;22648868;12343146;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-28-04;TRAVAMENTO DE CAIXAS NO VIRADOR;TRANSPORTE MAGAZINE CXS - ECX;110;LINHA 02 - VIDRO
MAOB;08/07/2020;22648871;12343180;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-05-01;Latas com verniz interior mais escuro;CANTRONIC 01 - K709325;120;LINHA 03 - LATA
MAOB;09/07/2020;22648874;12343187;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-09-01;ENRROSCO DE GARRAFA NO SEM-FIM DE ENTRAD;ENCHEDORA - K136690;115;LINHA 02 - VIDRO
MAOB;09/07/2020;22648925;12342929;ZM01;ENCE CONF CAPC DNAT MOME NOLQ;2015-20-20-02-36-06;CORRE?O DO SISTEMA ELETROPNEUMTICO E C;ETIQUETADORA ENVOLVEDORA - FR18270508;110;LINHA 04 - VIDRO
MAOB;09/07/2020;22649025;12343255;ZM01;ENTE CNPA CAPC NOLQ SCDM;2015-20-21-01-23-01;Latas marcadas e arranhadas;RECRAVADORA DE LATAS;115;LINHA 01 - LATA
MAOB;07/07/2020;22649037;12343407;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-09-01;FALHA DE SEGURAN? PORTA DO ARROLHADOR;ENCHEDORA - K136690;115;LINHA 02 - VIDRO
MAOB;07/07/2020;22649038;12343408;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-20-01-03;FALHA DO BLOQUEADOR DE PALETE;PALETIZA?O;115;LINHA 02 - VIDRO
MAOB;07/07/2020;22649039;12343409;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-05-02;FALHA NA SELE?O DE GARRAFAS;SEKAMAT 704 - I - K704320;120;LINHA 02 - VIDRO
MAOB;09/07/2020;22649043;12343208;ZM01;ENCE CONF CAPC DNAT MOME NOLQ;2015-40-40-01-02-01-02;FALHA DE CHAMA NO QUEIMADOR ESQUERDO DA;QUEIMADOR;120;UTILIDADES
MAOB;09/07/2020;22649046;12343261;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-40-45-01-03-16;CONTROLADOR DE FATOR DE POT?CIA DO QGBT;PAINEL EL?RICO PGBT 01 380V;120;UTILIDADES
MAOB;09/07/2020;22649052;12343282;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-01-12-01;FALHA NA BOTOEIRA DE EMERG?CIA DO IHM.;ROTULADORA I - K406194;120;LINHA 02 - VIDRO
MAOB;08/07/2020;22649058;12343314;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-05;CANTRONICS DESCONFIGURADOS/ SET-UP;INSPECAO RECIPIENTES VAZIOS;110;LINHA 01 - LATA
MAOB;09/07/2020;22649085;12343292;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-01-19-02;Sensor danificado;ENCAIXOTADORA GRF BICADAS - KR66255;120;LINHA 02 - VIDRO
MAOB;09/07/2020;22649124;12343440;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-06-04;REJEI?O ALEATORIA DE LATAS COM SELO;CHECKMAT TAXOMATIC III - K731CH8;120;LINHA 03 - LATA
MAOB;08/07/2020;22649125;12343441;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-02;INSPETOR REJEITANDO LATAS COM SELO;SELADORA II;120;LINHA 01 - LATA
MAOB;10/07/2020;22649216;12343427;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-06-02;FALHA NA REJEI?O DE NIVEL E ROTULO;CHECKMAT ROTULADORA I - K731V41;120;LINHA 02 - VIDRO
MAOB;09/07/2020;22649220;12343319;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-06-03;ERRO NA EXPULSÏ.;CHECKMAT TAXOMATIC II;110;LINHA 01 - LATA
MAOB;08/07/2020;22649221;12343460;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-03;LATAS TOMBANDO NO TECHO B23-17;TRANSPORTE ECH-PZ;120;LINHA 01 - LATA
DISM PROG;09/07/2020;22649242;12343454;ZM01;ENCE CONF IMPR CAPC MOME MatC NOLQ;2015-20-20-02-27-01;Rolamento da engrenagem de tra? estour;TRANSPORTE DE PALETES;115;LINHA 04 - VIDRO
MAOB;10/07/2020;22649244;12343472;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-01-01;FALHA DO RELE DE  SEGURAN?;DESPALETIZADORA - KR63755;120;LINHA 02 - VIDRO
MAOB;09/07/2020;22649246;12343474;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-08;LATAS TOMBANDO NO TECHO GLIDELINER 2.;TRANSPORTE PZ-TAXOMATIC II;120;LINHA 01 - LATA
MAOB;09/07/2020;22649248;12343476;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-05-01;PICO DE EXPULS?S POR BOCAL.;INSPETOR TOPTRONIC - K719610;120;LINHA 02 - VIDRO
MAOB;09/07/2020;22649249;12343478;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-28-01;FALHA BAIXA PRESSÏ DE AR  TAG 2143-401;TRANSPORTE DPL-DCX;120;LINHA 04 - VIDRO
MAOB;10/07/2020;22649265;12343502;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-15;DESCARRILHAMENTO DA ESTEIRA B34-04.;TRANSPORTE MESA ACUMULO-ENTRADA EPC I;115;LINHA 01 - LATA
MAOB;11/07/2020;22649271;12343509;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-07-02;INSPETOR DE CAIXAS EXPULSANDO ERRADO;CHECKMAT CAIXA CHEIA - K708A14;120;LINHA 02 - VIDRO
MAOB;11/07/2020;22649272;12343532;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-12-03;FALHA REDE ASI MASTER 01;SELADORA III;120;LINHA 01 - LATA
MAOB;09/07/2020;22649276;12343560;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-23-01-51;TRAVAMENTO DA ESTRELA DE ENTRADA DE PRE-;SOPRADORA;115;OUTROS
MAOB;09/07/2020;22649298;12343482;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-02-01-09-01;BOMBA APRESENTANDO RUIDO EXCESSIVO;WHIRPOOL;110;PROCESSO
MAOB;10/07/2020;22649304;12343551;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-23-01;ENROSCO DE TAMPAS;ARROLHADOR;115;LINHA 02 - VIDRO
MAOB;10/07/2020;22649305;12343553;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-01-01;DESCARRILHOU A ESTEIRA DA MESA DE AGULHA;DESPALETIZADORA - KR63-G59;120;LINHA 04 - VIDRO
MAOB;10/07/2020;22649444;12343465;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-01;FALHA NO IN?IO AUTOMTICO DA SELADORA.;TAXOMATIC I - K084160;120;LINHA 03 - LATA
MAOB;10/07/2020;22649446;12343467;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-36-03;FALHA DE BICO OBSTR?DO OU MAL ENCAIXADO;DATADOR - TAXOMATIC 03;120;LINHA 03 - LATA
MAOB;10/07/2020;22649456;12343612;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-02-27-01;QUEBRA DA EMENDA DA CORRENTE ACIONAMENTO;TRANSPORTE DE PALETES;120;LINHA 04 - VIDRO
MAOB;10/07/2020;22649457;12343613;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-01-02-01;TULIPA DO CABE?TE DANIFICADO;DESENCAIXOTADORA - KR66253;110;LINHA 02 - VIDRO
MAOB;10/07/2020;22649503;12343513;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-29-15;ESTEIRA DA CURVA DE ENTRADA VARIOPAC 1;TRANSPORTE MESA ACUMULO-ENTRADA EPC I;115;LINHA 01 - LATA
MAOB;10/07/2020;22649504;12343514;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-23-01;CRASH NA SAIDA DA RECRAVADORA;RECRAVADORA DE LATAS;115;LINHA 01 - LATA
MAOB;10/07/2020;22649505;12343515;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-23-01;LATAS MARCADAS E RISCADAS;RECRAVADORA DE LATAS;115;LINHA 01 - LATA
MAOB;08/07/2020;22649512;12343517;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-00-04-01-02-01;FALHA EXECU?O CIP LINHA DE RECOLHA;CIP CROSSFLOW;120;PROCESSO
MAOB;10/07/2020;22649521;12343562;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-23-01;LATAS SAINDO MARCADAS> AP? A OBSERVA?O;RECRAVADORA DE LATAS;115;LINHA 01 - LATA
MAOB;11/07/2020;22649523;12343567;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-20-01-01;Falha no posicionamento de palete;ENTRADA;115;LINHA 04 - VIDRO
MAOB;10/07/2020;22649530;12343741;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-40-43-01-09-02;VALVULAS DE SEGUNDO ESTAGIO DANIFICADAS;COMPRESSOR DE CO2 02;110;UTILIDADES
MAOB;10/07/2020;22649536;12343790;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-29-03;Cresh na entrada do tuister;TRANSPORTE ECH-PZ;115;LINHA 03 - LATA
MAOB;10/07/2020;22649537;12343791;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-09-01;Ajuste no fladar;ENCHEDORA DE LATAS - K232-139;115;LINHA 03 - LATA
MAOB;08/07/2020;22649564;12343588;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-09-01;FALHA NO SELECIONADOR DE TAMPAS FALTA;ENCHEDORA - K136690;120;LINHA 02 - VIDRO
MAOB;10/07/2020;22649567;12343642;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-23-01;GUIAS COM DESGATE> AP? A LINHA PARAR PA;RECRAVADORA DE LATAS;120;LINHA 01 - LATA
MAOB;09/07/2020;22649568;12343645;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-20-01;FALHA NA BARREIRA DE LUZ PRESEN? DE PAL;PALETIZADORA - KR63754;115;LINHA 02 - VIDRO
MAOB;10/07/2020;22649577;12343768;ZM01;ENCE CONF CAPC DNAT NOLQ SCDM;2015-70-73-01-02-01;VAZAMENTO DE SODA PELA MANGUEIRA;TANQUE HIDROXIDO DE SODIO;110;OUTROS
MAOB;10/07/2020;22649593;12343716;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-40-43-01-08-02;FALHA NO COMPRESSOR 1 DE NH3;COMPRESSOR DE NH3 01;115;UTILIDADES
MAOB;10/07/2020;22649594;12343717;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-21-02-09-01;Falha de enchimento na v?ula 79;ENCHEDORA DE LATAS - K232-139;115;LINHA 03 - LATA
MAOB;11/07/2020;22649599;12343821;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-00-05-01-02-01;CONDUTIV?ETRO LINHA 4 CIP COM ERRO;CIP FILTRA?O;120;PROCESSO
MAOB;11/07/2020;22649620;12343635;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-02-12-02;Rejei? de latas com selo;TAXOMATIC II - K084161;120;LINHA 03 - LATA
MAOB;10/07/2020;22649675;12343729;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-20-02;FALHA NA CENTRAGEM DO PALETE.;PALETIZADOR II;120;LINHA 01 - LATA
MAOB;11/07/2020;22649678;12343772;ZM01;ENCE CONF CAPC MOME MatC NOLQ;2015-20-20-01-01-02;SENSOR DANIFICADO E FALTANDO ESPELHO;DESPALETIZADORA GRF NOVA - KR74411;110;LINHA 02 - VIDRO
MAOB;10/07/2020;22649704;12343787;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-29-22;Descarrilhamento do trecho B46-05;TRANSPORTE PZ-RT II;115;LINHA 02 - VIDRO
MAOB;10/07/2020;22649705;12343788;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-29-13;Descarrilhamento do trecho B31-10;TRANSPORTE TOP-ECX BICADAS;115;LINHA 02 - VIDRO
MAOB;11/07/2020;22649713;12343837;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-27-02;CORRENTE DE ROLO;TRANSPORTE DE PALETES;120;LINHA 01 - LATA
MAOB;11/07/2020;22649714;12343838;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-21-01-01;CONEXÏ DANIFICADA;DESPALETIZA?O;115;LINHA 01 - LATA
MAOB;11/07/2020;22649715;12343839;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-01-07-02;FALHA NA INSPE?O;CHECKMAT CAIXA CHEIA - K708A14;120;LINHA 02 - VIDRO
MAOB;12/07/2020;22649769;12343861;ZM01;ENCE CONF CAPC NOLQ SCDM;2015-20-20-02-29-21;Crash no TRP de entrada da enchedora;TRANS.LINATRONIC INSP VAZIO I/II - ENCH.;120;LINHA 04 - VIDRO
